자치구,법정동,사업구분,운영구분,진행단계,상태,토지등 소유자 수,정비구역면적(㎡),건축연면적(㎡),용도지역,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,임대세대총수,분양세대규모별분포,임대세대규모별분포
마포구,아현동,재개발(도시정비형),조합,관리처분인가,운영,147,6217.32,40744.88,준주거지역,6217.32,847.53,0.0,369.5,0.0,0.0,2117.03,공동주택/판매시설,52.52,516.35,63.0,20.0,4.0,239,0,239.0,0.0
영등포구,영등포동,재개발(도시정비형),조합,조합설립인가,운영,17,5392.0,0.0,일반상업지역 준주거지역,3930.4,1461.6,0.0,0.0,0.0,0.0,0.0,판매근린생활업무주거,52.0,610.0,120.0,34.0,6.0,149,69,149.0,69.0
영등포구,양평동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,81,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,영등포동,재개발(도시정비형),조합청산,조합청산,운영,397,58131.8,0.0,Unknown,38581.0,14045.8,2959.0,0.0,2546.0,0.0,0.0,"근린생활,업무,주거",52.0,3.7,210.0,35.0,3.0,0,0,0.0,0.0
동작구,신대방동,재개발(도시정비형),조합,조합설립인가,운영,587,587.47,222935.61,준주거지역 3종일반주거지역,44480.0,6253.0,3110.0,0.0,12940.0,0.0,493.0,공동주택/판매시설/근린생활시설,30.62,333.97,100.0,30.0,6.0,1024,140,1024.0,140.0
영등포구,신길동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
동대문구,전농동,재개발(도시정비형),조합,조합설립인가,운영,239,28202.4,224172.21,제2종일반주거지역(7층이하) 제3종일반주거지역,19166.7,5659.7,2670.8,705.2,0.0,0.0,0.0,공동주택판매시설,48.66,736.26,165.0,49.0,8.0,1104,190,1104.0,190.0
강동구,천호동,재개발(도시정비형),조합,준공인가,운영,173,38508.2,252072.18,일반상업지역 준주거지역 제3종일반주거지역,37007.35,3187.0,183.65,0.0,0.0,0.0,0.0,공동주택 판매/업무시설 문화및 복지시설,42.17,484.19,135.0,40.0,5.0,999,105,999.0,105.0
서대문구,남가좌동,재개발(도시정비형),조합,착공신고,운영,210,13180.0,59388.93,준주거지역 재개발정비사업구역,9824.0,3356.0,0.0,0.0,0.0,0.0,0.0,공동주택,58.85,399.74,83.0,27.0,3.0,283,46,283.0,46.0
용산구,동자동,재개발(도시정비형),조합청산,조합청산,운영,72,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
은평구,불광동,재개발(도시정비형),공공지원자,정비구역지정,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
종로구,창신동,재개발(도시정비형),조합,조합설립인가,운영,17,3999.7,30138.93,일반상업지역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,오피스텔 근린생활시설,59.64,834.97,78250.0,25.0,6.0,216,0,216.0,0.0
광진구,자양동,재개발(도시정비형),조합,조합해산,운영,98,1081.64,0.0,Unknown,1081.64,1566.0,935.0,0.0,0.0,0.0,0.0,주거,60.0,438.0,100.0,0.0,0.0,145,16,145.0,16.0
영등포구,신길동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,양평동,재개발(도시정비형),조합,사업시행인가,운영,126,27441.7,0.0,준공업지역,16512.0,1778.2,0.0,0.0,1250.0,0.0,7901.5,공동주택,0.0,0.0,0.0,32.0,2.0,203,170,203.0,170.0
용산구,한강로2가,재개발(도시정비형),조합,일반분양승인,운영,41,6106.4,53676.47,도시지역 일반상업지역,3610.2,410.2,1674.1,411.9,0.0,0.0,0.0,공동주택,43.28,891.12,150.0,39.0,8.0,110,0,110.0,0.0
양천구,신정동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,79,20536.9,91621.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"주상복합,오피스텔,근린생활시설",55.98,529.99,79.0,23.0,4.0,0,0,0.0,0.0
금천구,가산동,재개발(도시정비형),조합,조합설립인가,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,양평동,재개발(도시정비형),조합,관리처분인가,운영,382,37561.8,97466.66,준공업지역,0.0,3673.8,2389.4,0.0,0.0,0.0,0.0,Unknown,19.32,279.05,0.0,35.0,2.0,539,168,539.0,168.0
용산구,한강로3가,재개발(도시정비형),조합,이전고시,운영,77,18956.8,15102.76,일반상업지역,8754.9,892.55,3592.2,0.0,0.0,0.0,7520.0,공동주택업무시설판매시설,49.98,991.37,1474.0,39.0,9.0,151,0,151.0,0.0
종로구,종로6가,재개발(도시정비형),조합,조합해산,운영,83,12556.3,0.0,일반상업지역,9665.4,0.0,2890.9,0.0,0.0,0.0,0.0,Unknown,60.0,660.0,75.0,0.0,0.0,234,0,234.0,0.0
용산구,한강로1가,재개발(도시정비형),조합,조합설립인가,운영,268,41744.0,172156.25,일반상업지역준주거지역제1종일반주거지역제2종일반주거지역제3종일반주거지역,41744.0,1854.0,7400.5,0.0,0.0,0.0,0.0,공동주택 업무시설 판매시설 근린생활시설,22.64,448.01,119.0,38.0,5.0,476,0,476.0,0.0
종로구,창신동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,184,11915.3,0.0,일반상업지역,8976.8,1778.0,0.0,247.0,0.0,0.0,1428.0,주거 판매,60.0,950.0,121.0,36.0,6.0,420,0,420.0,0.0
용산구,한강로2가,재개발(도시정비형),조합,이전고시,운영,98,24788.0,0.0,일반상업지역,12019.9,10581.4,2186.7,0.0,1395.73,0.0,0.0,공동주택업무판매,49.62,962.25,149.0,40.0,0.0,194,0,194.0,0.0
양천구,목동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
동대문구,이문동,재개발(도시정비형),공공지원자,정비계획 수립,운영,167,18004.0,125104.71,제2종일반주거지역(7층이하) 준주거지역,16806.8,862.5,334.7,0.0,0.0,0.0,0.0,공동주택 및 부대복리시설,32.28,451.67,105.0,36.0,6.0,454,276,454.0,276.0
용산구,한강로3가,재개발(도시정비형),조합,조합설립인가,운영,29,5805.0,60904.79,일반상업지역,5805.0,468.0,0.0,0.0,1000.0,0.0,0.0,공동주택 외,57.64,959.26,120.0,25.0,5.0,128,0,128.0,0.0
영등포구,양평동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,127,11082.1,0.0,준공업지역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,영등포동,재개발(도시정비형),조합,관리처분인가,운영,202,27049.0,107377.58,준주거지역,17200.0,2227.3,6315.0,0.0,0.0,0.0,0.0,주거,42.29,397.98,99.0,33.0,3.0,398,261,398.0,261.0
서대문구,충정로3가,재개발(도시정비형),조합,조합설립인가,운영,86,5596.2,31284.27,준주거지역제3종일반주거지역,3631.23,0.0,0.0,0.0,427.45,0.0,0.0,공동주택,59.54,526.12,70.0,19.0,4.0,198,0,198.0,0.0
용산구,한강로3가,재개발(도시정비형),조합,이전고시,운영,316,53441.06,385429.61,일반상업지역,28718.08,6877.0,14508.6,2961.7,0.0,0.0,0.0,공동주택 비주거시설 종교시설,47.8,745.5,14255.0,40.0,7.0,409,84,409.0,84.0
양천구,신정동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,101,15046.6,56268.29,근린상업지역,9645.6,3617.0,1508.0,934.0,0.0,0.0,0.0,Unknown,60.0,530.0,80.0,23.0,0.0,294,16,294.0,16.0
동대문구,용두동,재개발(도시정비형),조합,조합설립인가,운영,135,20780.4,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
성동구,용답동,재개발(도시정비형),조합,조합설립인가,운영,506,29883.7,338658.92,유통상업지역,29883.7,0.0,0.0,0.0,0.0,0.0,0.0,자동차 매매관련 복합 시설,59.79,599.6,108.0,29.0,6.0,0,0,0.0,0.0
중랑구,상봉동,재개발(도시정비형),조합,사업시행인가,운영,180,16503.1,143708.0,일반상업지역,11124.3,83.0,3994.1,0.0,0.0,0.0,1301.7,업무 판매 주거 문화,59.98,816.99,140.0,43.0,7.0,423,88,423.0,88.0
종로구,교남동,재개발(도시정비형),조합,조합해산,운영,989,152639.0,375580.71,주거. 판매. 업무,100393.1,24447.6,6328.8,1053.2,0.0,0.0,20416.3,주거. 판매. 업무,28.17,258.06,69.0,21.0,5.0,2048,496,2048.0,496.0
마포구,마포동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,358,4243.5,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
성북구,하월곡동,재개발(도시정비형),조합,관리처분인가,운영,459,55112.0,423361.68,일반상업지역,40600.0,9081.0,4786.0,0.0,0.0,0.0,645.0,주거판매업무,42.05,679.84,149.0,46.0,6.0,1996,213,1996.0,213.0
영등포구,문래동,재개발(도시정비형),조합,조합설립인가,운영,649,94087.0,0.0,준공업지역,62464.0,10128.0,20295.0,0.0,0.0,0.0,1200.0,공동주택 산업시설,0.0,0.0,0.0,0.0,0.0,915,199,915.0,199.0
종로구,사직동,재개발(도시정비형),조합,사업시행인가,운영,275,34268.84,73609.7,제2종 일반주거지역(7층),27329.24,988.6,0.0,3822.4,2128.6,0.0,0.0,공동주택,31.75,176.82,42.0,12.0,2.0,403,83,403.0,83.0
영등포구,영등포동,재개발(도시정비형),조합,조합설립인가,운영,306,17391.8,140366.98,Unknown,10829.0,2656.7,1262.0,0.0,0.0,0.0,410.0,판매/영업 근린생활 업무,55.35,770.0,130.0,39.0,7.0,647,171,647.0,171.0
영등포구,문래동,재개발(도시정비형),공공지원자,정비구역지정,운영,0,89056.0,0.0,"준공업지역, 일반상업지역",55876.0,23946.0,5014.0,1540.0,0.0,0.0,2680.0,"공동주택, 전략시설, 산업시설",0.0,0.0,0.0,0.0,0.0,916,54,916.0,54.0
영등포구,영등포동,재개발(도시정비형),조합,조합설립인가,운영,409,16256.0,0.0,일반상업지역,10578.5,3605.6,1035.9,0.0,0.0,0.0,1036.0,주거판매업무,59.0,750.0,130.0,38.0,5.0,378,35,378.0,35.0
동대문구,용두동,재개발(도시정비형),조합,조합설립인가,운영,16,1923.0,11118.7,준주거지역 정비구역,1360.5,562.5,0.0,0.0,0.0,0.0,0.0,공동주택(아파트) 및 부대복리시설,49.79,548.97,56.0,18.0,4.0,60,0,60.0,0.0
