자치구,법정동,진행단계,토지등 소유자 수,정비구역면적(㎡),건축연면적(㎡),택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,임대세대총수,분양세대규모별분포,임대세대규모별분포
마포구,아현동,조합해산,0,207508.3,5824773.86,146506.7,254019.0,1335.71,52416.51,22.63,259.42,95.0,30.0,4.0,3209,658,3209.0,658.0
마포구,염리동,조합해산,1105,87952.2,878.4,63954.7,13579.7,5014.4,3041.219705882353,20.16,250.28,77.0,27.0,3.0,1386,285,1386.0,285.0
영등포구,신길동,조합해산,567,76602.0,233508.68,62866.2,6622.9,3606.1,2844.5,19.49,264.1,94.0,29.0,2.0,1260,286,1260.0,286.0
종로구,신영동,철거신고,56,15589.3,35566.19,13252.6,1601.1,5579.312872340426,3041.219705882353,37.06,151.5,22.0,7.0,3.0,199,0,199.0,0.0
중구,신당동,조합해산,92,8224.8,24058.75,6577.0,929.8,364.0,3041.219705882353,28.13,244.76,58.0,16.0,3.0,176,0,176.0,0.0
중구,만리동,조합해산,861,67199.3,192785.18,55172.3,3412.6,7804.6,0.0,19.61,234.27,838.6910112359551,25.0,5.0,1113,228,1113.0,228.0
중구,신당동,관리처분인가,544,58651.3,189092.58,45184.0,7992.0,3699.3,3041.219705882353,17.68,244.17,84.0,28.0,4.0,1030,183,1030.0,183.0
송파구,거여동,조합해산,670,61850.1,179787.07,43359.3,11781.6,5470.0,436.7,30.0,277.1,94.0,33.0,4.0,972,227,972.0,227.0
동대문구,청량리동,사업시행인가,688,83883.1,227419.52,63056.3,14800.8,4200.0,3041.219705882353,25.0,234.0,72.0,16.0,4.197860962566845,1242,255,1242.0,255.0
동대문구,답십리동,조합해산,405,32729.7,98513.32,27367.7,3253.0,5579.312872340426,2109.0,20.92,245.92,60.0,20.0,2.0,662,140,662.0,140.0
동대문구,용두동,조합해산,470,53371.0,150487.26,43409.0,7177.0,1865.0,920.0,23.58,226.3,65.0,21.0,2.0,869,179,869.0,179.0
동대문구,휘경동,조합해산,442,43329.0,133637.18,28587.0,6921.0,3402.0,3438.0,21.17,299.67,112.0,29.0,3.0,726,174,726.0,174.0
동대문구,이문동,일반분양승인,1759,144856.0,458412.65,115829.0,17621.0,9228.0,0.0,30.0,247.6,75.0,27.0,5.0,2528,541,2528.0,541.0
동대문구,휘경동,일반분양승인,603,65338.0,195963.42,41652.0,9316.0,3195.0,6310.0,18.45,29.96,118.0,35.0,3.0,1785,314,1785.0,314.0
동대문구,전농동,조합설립인가,633,93697.0,289080.73,72231.5,10884.0,6830.1,0.0,25.45,249.99,130.0,32.0,4.0,1398,352,1398.0,352.0
동대문구,전농동,조합해산,1495,151859.05,369840.48,108642.5,17679.9,5282.7,2125.9,22.57,238.26,63.0,22.0,3.0,1984,413,1984.0,413.0
동대문구,전농동,조합설립인가,146,16237.0,53075.09,13791.7,834.1,815.0,3041.219705882353,50.0,2.4,838.6910112359551,24.123711340206185,30.0,246,51,246.0,51.0
중구,신당동,조합설립인가,0,6389.34,230468.45,47795.1,9989.9,6108.4,3041.219705882353,28.1,299.8,175.0,35.0,3.0,1107,316,1107.0,316.0
성북구,돈암동,조합청산,342,30588.0,103248.48,25549.0,194.5,5579.312872340426,2933.0,24.84,238.0,838.6910112359551,24.123711340206185,4.197860962566845,61854,90,61854.0,90.0
성북구,보문동,조합청산,592,52245.8,1666541.09,43150.8,3103.0,5091.0,3041.219705882353,21.36,237.46,838.6910112359551,20.0,7.0,978,208,978.0,208.0
관악구,신림동,조합설립인가,1460,233729.0,394003.03,172404.0,33748.0,16178.0,787.0,60.0,230.0,838.6910112359551,33.0,4.0,2465,505,2465.0,505.0
성북구,보문동,착공신고,156,10798.5,65273.1,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,55.62,292.67,838.6910112359551,26.0,5.0,186,0,186.0,0.0
성북구,삼선동,일반분양승인,419,63918.5,174294.29,48086.8,9861.1,3670.0,3041.219705882353,25.87,230.29,51.0,18.0,4.0,1015,208,1015.0,208.0
노원구,상계동,정비구역지정,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
성북구,장위동,조합설립인가,1427,145174.6,392654.68,106512.0,21359.0,7442.3,0.0,21.58,211.59,71.0,25.0,7.0,2000,439,2000.0,439.0
용산구,한남동,관리처분인가,3887,393729.0,2697516.075544041,109455.0,39299.0,46506.0,9946.0,60.0,235.0,95.0,29.0,4.197860962566845,4778,979,4778.0,979.0
용산구,동빙고동,조합설립인가,1562,183707.0,2697516.075544041,54409.0,17632.0,1913.0,20038.0,60.0,223.0,170.0,50.0,4.197860962566845,1956,403,1956.0,403.0
중랑구,중화동,일반분양승인,412,44725.5,146109.23,32561.3,3268.9,4556.0,3020.7,20.6,299.95,100.0,35.0,2.0,835,220,835.0,220.0
송파구,마천동,정비계획 수립,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
성북구,장위동,조합설립추진위원회승인,392,66011.0,159270.59,52651.0,4009.0,8321.0,0.0,14.44,229.94,88.0,29.0,2.0,473,184,473.0,184.0
서대문구,홍제동,이전고시,609,5837.54,189877.66,46200.4,6437.0,2922.0,656.0,21.92,253.93227906976745,238.0,20.0,3.0,948,168,948.0,168.0
동대문구,신설동,조합설립인가,73,11204.15,46253.62,10124.8,845.05,0.0,0.0,13.48,299.5,75.0,2.0,25.0,189,110,189.0,110.0
금천구,시흥동,조합설립추진위원회승인,535,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
관악구,신림동,정비구역지정,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
동대문구,청량리동,사업시행인가,279,29001.0,90086.06,23136.8,2430.9,2119.5,3041.219705882353,15.99,246.98,70.0,24.0,3.0,460,150,460.0,150.0
동대문구,전농동,조합청산,298,28150.5,89012.32,19892.6,5622.9,2627.0,3041.219705882353,17.09,285.98,838.6910112359551,29.0,4.0,484,100,484.0,100.0
성북구,보문동,준공인가,237,17837.0,61497.89,15026.0,1790.0,1021.0,3041.219705882353,24.35,246.57,65.0,18.0,2.0,395,70,395.0,70.0
동대문구,청량리동,착공신고,389,35273.7,111214.94,26166.3,5896.4,5579.312872340426,1742.9,24.83,240.44,53.0,18.0,6.0,627,134,627.0,134.0
성북구,동선동,관리처분인가,166,15608.2,49120.83,47372.16765550239,2154.9,5579.312872340426,3041.219705882353,24.57,23.33,53.0,19.0,3.0,277,57,277.0,57.0
동작구,흑석동,관리처분인가,759,94579.2,187957.58,743.04,63.73,153.68,3041.219705882353,19.0,235.0,838.6910112359551,24.123711340206185,4.197860962566845,1255,215,1255.0,215.0
강북구,미아동,조합설립인가,412,35891.0,106076.78,47372.16765550239,4340.0,1935.0,3041.219705882353,26.95,242.3,838.6910112359551,2.0,23.0,495,103,495.0,103.0
노원구,상계동,조합해산,331,39960.6,106835.19,27362.7,9438.9,1247.0,0.0,20.4,254.99,98.0,28.0,3.0,658,152,658.0,152.0
노원구,상계동,사업시행인가,305,86432.5,135486.0,5694.55,882.56,181.37,0.0,12.55,195.46,88.0,25.0,3.0,1098,290,1098.0,290.0
노원구,상계동,조합설립인가,801,115964.1,151420.87,49506.0,24934.9,15745.9,3041.219705882353,24.82,261.0,838.6910112359551,33.0,3.0,1250,213,1250.0,213.0
노원구,상계동,준공인가,322,65684.9,163563.42,35315.0,20396.3,9023.3,0.0,20.65,304.99,88.0,29.0,3.0,965,198,965.0,198.0
은평구,응암동,조합청산,679,61052.6,173574.69,47233.6,8196.8,4144.8,3041.219705882353,15.35,255.86,80.0,25.0,3.0,1079,226,1079.0,226.0
은평구,녹번동,조합청산,702,74820.0,193700.39,58209.0,2880.0,6406.0,3041.219705882353,23.88,223.62,0.0,20.0,4.0,1075,155,1075.0,155.0
서대문구,영천동,착공신고,115,11154.2,55400.68,6744.9,3077.1,5579.312872340426,3041.219705882353,40.56,399.31,76.0,23.0,5.0,199,0,199.0,0.0
서대문구,북아현동,조합청산,474,60335.5,147946.26,38086.6,7906.0,7993.5,3182.9,27.34,244.62,62.0,20.0,5.0,777,163,777.0,163.0
서대문구,북아현동,조합해산,951,106645.8,327030.37,70482.5,19416.8,11208.6,896.3,26.73,283.42,106.0,34.0,5.0,1584,326,1584.0,326.0
서대문구,북아현동,사업시행인가,2536,263100.0,619750.57,180952.6,33481.6,36611.1,10.0,16.28,233.15,103.0,35.0,6.0,3015,618,3015.0,618.0
서대문구,북아현동,사업시행인가,1261,120055.8,301044.27,83709.4,12209.2,3919.1,5361.3,18.28,241.64,103.0,35.0,3.0,1422,292,1422.0,292.0
강북구,미아동,정비계획 수립,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
마포구,공덕동,정비구역지정,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
동대문구,청량리동,정비계획 수립,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
성동구,마장동,정비계획 수립,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
동대문구,용두동,조합설립추진위원회승인,89,15457.1,36948.0,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,50.0,549.0,60.0,18.0,5.0,693,0,693.0,0.0
성동구,금호동,조합해산,72,5127.2,15039.47,4029.4,872.2,225.6,3041.219705882353,24.67,233.74,838.6910112359551,16.0,3.0,108,0,108.0,0.0
용산구,청파동,정비계획 수립,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
강서구,방화동,조합설립인가,348,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
성동구,금호동,관리처분인가,365,27485.0,88619.35,22703.0,2077.0,2407.0,180.0,23.96,236.89,4692.0,16.0,8.0,475,120,475.0,120.0
성동구,하왕십리동,조합해산,913,136892.8,2697516.075544041,108489.3,9898.5,3000.0,3845.0,35.21,311.81,99.0,28.0,5.0,2101,359,2101.0,359.0
성동구,하왕십리동,조합해산,377,32989.59,98398.05,26534.5,3636.89,1519.2,653.0,17.5,227.22,6000.0,20.0,3.0,587,126,587.0,126.0
동작구,흑석동,조합설립인가,381,26675.0,82260.2,18165.0,6122.0,2388.0,3041.219705882353,39.1,294.17,838.6910112359551,30.0,2.0,392,82,392.0,82.0
관악구,봉천동,조합설립추진위원회승인,197,12272.5,40138.16,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,46.04,283.1,67.0,2.0,2.0,192,0,192.0,0.0
관악구,봉천동,착공신고,715,55512.8,132512.3,33512.6,7547.3,10042.9,3041.219705882353,23.15,288.08,83.0,28.0,3.0,833,164,833.0,164.0
관악구,신림동,일반분양승인,274,35136.4,79157.74,22463.3,4078.5,7295.3,3041.219705882353,23.25,233.7,838.6910112359551,17.0,4.0,473,98,473.0,98.0
성동구,금호동,조합설립인가,860,75447.0,17913.9,51487.2,15875.8,6737.0,1347.0,28.42,255.06,59.0,20.0,4.0,1219,220,1219.0,220.0
노원구,상계동,사업시행인가,1442,100819.4,330946838.67,74231.8,18027.0,1219.2,5719.5,28.18,246.37,72.0,25.0,8.0,1685,515,1685.0,515.0
